"2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5cc48065: startup date [Tue Oct 03 14:56:25 KRAT 2017]; root of context hierarchy
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - Looking for request mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5cc48065: startup date [Tue Oct 03 14:56:25 KRAT 2017]; root of context hierarchy
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 4 request handler methods found on class ru.danileyko.controller.DataController: {public java.lang.String ru.danileyko.controller.DataController.getStatus()={[/sshtest]}, public java.lang.String ru.danileyko.controller.DataController.getUser()={[/user]}, public java.util.List ru.danileyko.controller.DataController.getPortStatus()={[/portstatus]}, public java.util.List ru.danileyko.controller.DataController.getDevices()={[/alldev]}}
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sshtest]}" onto public java.lang.String ru.danileyko.controller.DataController.getStatus()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user]}" onto public java.lang.String ru.danileyko.controller.DataController.getUser()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/portstatus]}" onto public java.util.List<ru.danileyko.reports.ReportStatusOfPort> ru.danileyko.controller.DataController.getPortStatus()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/alldev]}" onto public java.util.List<ru.danileyko.model.Device> ru.danileyko.controller.DataController.getDevices()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 2 request handler methods found on class org.springframework.boot.autoconfigure.web.BasicErrorController: {public org.springframework.http.ResponseEntity org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)={[/error]}, public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)={[/error],produces=[text/html]}}
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'dataController': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'deviceDaoImpl': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'webSecurityConfig': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'deviceServiceImpl': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'objectPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'authenticationManagerBuilder': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'enableGlobalAuthenticationAutowiredConfigurer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'initializeUserDetailsBeanManagerConfigurer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'initializeAuthenticationProviderBeanManagerConfigurer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'methodSecurityInterceptor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'methodSecurityMetadataSource': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'preInvocationAuthorizationAdvice': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'metaDataSourceAdvisor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.aop.config.internalAutoProxyCreator': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.AutoConfigurationPackages': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'errorPageFilter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'propertySourcesPlaceholderConfigurer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'standardJacksonObjectMapperBuilderCustomizer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'jacksonObjectMapperBuilder': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'jacksonObjectMapper': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'jsonComponentModule': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration$TomcatWebSocketConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'websocketContainerCustomizer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'tomcatEmbeddedServletContainerFactory': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'embeddedServletContainerCustomizerBeanPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'errorPageRegistrarBeanPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration$DispatcherServletConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'dispatcherServlet': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'spring.mvc-org.springframework.boot.autoconfigure.web.WebMvcProperties': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'dispatcherServletRegistration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.DispatcherServletAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'defaultValidator': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'methodValidationPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'error': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'beanNameViewResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'conventionErrorViewResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'errorAttributes': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'basicErrorController': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'errorPageCustomizer': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'preserveErrorControllerTargetClassPostProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'requestMappingHandlerAdapter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'requestMappingHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcValidator': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcContentNegotiationManager': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcPathMatcher': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcUrlPathHelper': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'viewControllerHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'beanNameHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'resourceHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcResourceUrlProvider': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'defaultServletHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcConversionService': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcUriComponentsContributor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'httpRequestHandlerAdapter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'simpleControllerHandlerAdapter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'handlerExceptionResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'mvcViewResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'faviconHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'faviconRequestHandler': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'defaultViewResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'viewResolver': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'welcomePageHandlerMapping': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'requestContextFilter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'hiddenHttpMethodFilter': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'httpPutFormContentFilter': no URL paths identified
